id	yt-simple-endpoint href	durations	yt-simple-endpoint	yt-simple-endpoint 2	yt-simple-endpoint href 3	style-scope 5	style-scope 7	style-scope 9
81	https://www.youtube.com/watch?v=3yR5qVe_iXA&list=WL&index=81&pp=gAQBiAQB	58:25	5 Lessons in Business Negotiation from an FBI Hostage Negotiator	My First Million	https://www.youtube.com/@MyFirstMillionPod	30K views	1 month ago	
82	https://www.youtube.com/watch?v=uTxURzmrVtA&list=WL&index=82&pp=gAQBiAQB	15:07	What My Smart Home Was Missing.	The Stock Pot	https://www.youtube.com/@TheStockPot-AU	449K views	1 month ago	
83	https://www.youtube.com/watch?v=e2zIr_2JMbE&list=WL&index=83&t=221s&pp=gAQBiAQB	1:03:41	Master ALL 20 Agentic AI Design Patterns [Complete Course]	Mark Kashef	https://www.youtube.com/@Mark_Kashef	60K views	1 month ago	WATCHED
84	https://www.youtube.com/watch?v=FKTavjfqPuA&list=WL&index=84&pp=gAQBiAQB	1:12:24	Make $8K/day From These Side Hustles You’ve Never Heard Of	My First Million	https://www.youtube.com/@MyFirstMillionPod	106K views	1 month ago	
85	https://www.youtube.com/watch?v=6wR6xblSays&list=WL&index=85&pp=gAQBiAQB	16:57	Agentic Coding ENDGAME: Build your Claude Code SDK Custom Agents	IndyDevDan	https://www.youtube.com/@indydevdan	22K views	1 month ago	
86	https://www.youtube.com/watch?v=X1AFgQZW0aA&list=WL&index=86&pp=gAQBiAQB	5:21	Mehdi CALLS OUT Israel to 12,000 People: 'You Can’t Bomb The Truth Away'	Zeteo	https://www.youtube.com/@zeteo	599K views	1 month ago	
87	https://www.youtube.com/watch?v=L00Fyu_5GXk&list=WL&index=87&t=816s&pp=gAQBiAQB	27:24	Who Were the Sabians? - The Lost Religion of the Quran	Let's Talk Religion	https://www.youtube.com/@LetsTalkReligion	209K views	1 month ago	WATCHED
88	https://www.youtube.com/watch?v=rRcL45PDFPg&list=WL&index=88&pp=gAQBiAQB	24:52	macOS 26 Tahoe is Out! - What's New?	zollotech	https://www.youtube.com/@zollotech	444K views	1 month ago	
89	https://www.youtube.com/watch?v=f7P62viMfmI&list=WL&index=89&pp=gAQBiAQB	10:53	Israel's Largest Ground Invasion of Gaza City Has Begun? #israel #gaza	AiTelly	https://www.youtube.com/@Aitelly	124K views	1 month ago	
90	https://www.youtube.com/watch?v=sYB-PzDLNZE&list=WL&index=90&pp=gAQBiAQB0gcJCQMKAYcqIYzv	12:04	How Good Is GPT-5 Codex? I Built an App	Prompt Engineering	https://www.youtube.com/@engineerprompt	16K views	1 month ago	
91	https://www.youtube.com/watch?v=1bIVaODEbTo&list=WL&index=91&pp=gAQBiAQB	10:08	Google's NEW Agent Money Protocol	Sam Witteveen	https://www.youtube.com/@samwitteveenai	38K views	1 month ago	
92	https://www.youtube.com/watch?v=D97ILdUbYww&list=WL&index=92&pp=gAQBiAQB	1:30:21	Meta Connect 2025: Opening Keynote	Meta Developers	https://www.youtube.com/@MetaDevelopers	213K views	Streamed 1 month ago	
93	https://www.youtube.com/watch?v=zEMXCoqJodE&list=WL&index=93&pp=gAQBiAQB	38:29	AI coding with Gemini CLI - Google's terminal agentic coding tool	Google for Developers	https://www.youtube.com/@GoogleDevelopers	33K views	1 month ago	
94	https://www.youtube.com/watch?v=KBlbkjqxNbM&list=WL&index=94&pp=gAQBiAQB0gcJCQMKAYcqIYzv	1:07:26	What's new in Expo SDK 54? Precompiled React Native for iOS, Liquid Glass, Router v6...	Expo	https://www.youtube.com/@ExpoDevelopers	7K views	Streamed 1 month ago	
95	https://www.youtube.com/watch?v=GyDO81ERius&list=WL&index=95&pp=gAQBiAQB	45:30	Seth Godin: How to Build a Business Strategy That ACTUALLY Works	Young and Profiting	https://www.youtube.com/@youngandprofiting	134K views	1 year ago	
96	https://www.youtube.com/watch?v=OXOypK7_90c&list=WL&index=96&pp=gAQBiAQB0gcJCQMKAYcqIYzv	50:40	Codex and the future of coding with AI — the OpenAI Podcast Ep. 6	OpenAI	https://www.youtube.com/@OpenAI	63K views	1 month ago	
97	https://www.youtube.com/watch?v=Xqa-PyY-oRU&list=WL&index=97&pp=gAQBiAQB0gcJCQMKAYcqIYzv	32:14	macOS Tahoe Released - What's New? (100+ New Features)	Brandon Butch	https://www.youtube.com/@BrandonButch	143K views	1 month ago	
98	https://www.youtube.com/watch?v=GB0b6KFZVq0&list=WL&index=98&t=142s&pp=gAQBiAQB	11:50	AirPods Pro 3 Review: I Understand It Now!	Marques Brownlee	https://www.youtube.com/@mkbhd	6.1M views	1 month ago	WATCHED
99	https://www.youtube.com/watch?v=L43FP1TZ3kQ&list=WL&index=99&pp=gAQBiAQB	1:00	Adeline 11 years old aint no scrub! 🔥🔥🔥	stance	https://www.youtube.com/@stanceelements	136K views	2 months ago	WATCHED
100	https://www.youtube.com/watch?v=2wXYLWz3YEQ&list=WL&index=100&t=850s&pp=gAQBiAQB	20:55	Expo UI iOS Liquid Glass Tutorial	Expo	https://www.youtube.com/@ExpoDevelopers	39K views	1 month ago	WATCHED
